"ID_REF"	"GSM760507"	"GSM760508"	"GSM760509"	"GSM760510"	"GSM760511"	"GSM760512"	"GSM760513"	"GSM760514"	"GSM760515"	"GSM760516"	"GSM760517"	"GSM760518"	"GSM760519"	"GSM760520"	"GSM760521"	"GSM760522"	"GSM760523"	"GSM760524"	"GSM760525"	"GSM760526"	"GSM760527"	"GSM760528"	"GSM760529"	"GSM760530"	"GSM760531"	"GSM760532"	"GSM760533"	"GSM760534"	"GSM760535"	"GSM760536"	"GSM760537"	"GSM760538"	"GSM760539"	"GSM760540"	"GSM760541"	"GSM760542"	"GSM760543"	"GSM760544"	"GSM760545"	"GSM760546"	"GSM760547"	"GSM760548"	"GSM760549"	"GSM760550"	"GSM760551"	"GSM760552"	"GSM760553"
4	78.49150791	79.87842374	82.77952896	75.38883589	74.59729476	78.03052805	84.18163906	59.39177294	73.62525924	106.0964448	68.55082835	79.56935449	76.03503816	50.47947464	87.29263677	84.17002944	74.50503391	72.17372383	90.97837078	86.38827142	75.85410631	129.983788	72.69460301	82.21113886	86.70809187	89.25414786	84.62302819	71.29404038	86.9688662	72.18518474	63.99321705	53.00787938	58.0961178	56.22791212	63.40117624	72.09568321	68.04433345	75.89774642	74.12263683	59.7490255	75.69291366	55.33935399	75.95854251	57.82855009	74.6353628	73.73142488	61.58865359
28	117.2683346	152.9465062	161.3238791	178.9556214	70.62260024	76.98182558	77.70070301	289.2007379	123.8548338	247.1911407	106.9984328	130.2719976	147.5622472	71.11257623	92.14665341	226.3010645	196.3396708	183.6877656	213.9805146	240.7232571	128.0088091	93.58767377	133.1593296	201.3168072	133.2949494	105.6982552	109.7829223	149.4956583	153.1123526	83.28760027	74.40817641	63.58549922	61.04370406	59.42726641	136.2192043	116.1858771	165.9278385	57.61600854	85.25101489	100.1507022	88.28820161	69.89528932	117.6805627	145.8597671	88.84484242	143.8001131	80.39771815
35	90.39138306	94.43945336	109.0282868	91.6773461	98.20526115	80.12738495	108.8228542	59.39177294	92.45326963	109.2473866	74.48442931	97.42191946	94.21543734	44.64718386	61.07596956	104.5181404	89.1317811	98.32287328	86.47150855	99.21038266	98.82503039	100.4715442	96.1252578	89.22586604	90.77611252	96.09388259	82.31302702	101.3073119	94.42392436	97.09394643	66.71827762	59.90767005	56.60742628	59.42726641	66.13569069	83.63344963	76.34155726	57.61600854	77.75938888	62.59017947	50.84116199	53.39319303	81.80731975	69.8861615	72.54871362	74.89611357	60.88286418
41	56.54037798	48.15991217	65.86511417	62.86967011	50.42466226	54.93096166	55.69999621	45.63318072	60.93116099	54.31165158	45.27780993	66.24970345	73.76871443	49.1333062	49.08236841	59.24466494	53.28173168	52.37205724	53.26051833	48.19377337	54.40881103	89.43673959	57.83718511	61.42090301	65.09761554	65.54898197	51.75746156	605.3958633	59.97336815	56.61734007	46.60076633	55.06285751	55.67796797	54.36402191	55.37187532	55.33935399	52.97639531	50.95157489	57.83718511	53.46600075	54.04904632	45.70271164	45.0786333	43.9003165	54.16366442	53.27725099	54.33263287
42	54.54296168	50.47947464	51.09066418	56.72757291	71.69643188	57.04199604	56.44289173	49.91368686	53.55540058	55.14221946	57.50025586	66.24970345	55.96587754	46.79507249	64.51735857	63.67820087	87.22862266	63.44811578	57.38359036	57.82855009	51.34361052	57.40076701	64.46859109	57.62577733	62.19837367	65.54898197	55.19891354	59.65815812	61.02032389	56.61734007	59.32543318	52.37205724	52.5726618	57.07710632	66.13569069	54.16366442	48.12881378	50.95157489	55.69999621	58.79142714	48.84148537	48.8940757	53.06261404	46.43247473	64.07312173	54.31165158	58.26240754
49	109.0764936	93.18760554	123.4049892	107.0425488	103.0551602	80.12738495	102.3475588	289.2007379	124.9095396	194.3431114	108.2622779	166.5413156	184.8084932	66.74997777	147.1126572	141.8895257	127.3948699	113.9175685	174.2319625	151.8963265	118.0095638	184.5378579	215.2091458	133.4371289	134.1830664	145.8597671	121.3805241	128.1086514	148.801799	177.9124918	133.6720705	78.0965559	140.391245	75.16991856	95.42250697	85.83172877	100.3420248	118.9485078	141.4320333	102.7788615	111.2966206	91.10174779	94.57650147	90.93418232	152.0741324	158.5452061	144.3134919
50	83.10819677	78.30911995	95.85361894	86.73533933	114.9320123	161.6788241	121.3805241	69.93966761	74.12263683	67.06940474	61.13372345	71.67514965	68.72220224	163.994989	63.2791719	69.9217224	61.84451555	89.01031325	75.70020039	77.09558343	68.49274084	104.15683	86.4467884	75.87332779	71.76422361	67.2943536	74.42505715	105.3470799	69.87703487	141.3329502	108.8228542	68.59656176	59.93870359	73.03794449	67.58930927	110.7043294	102.4894572	125.7486346	94.40839792	70.57376841	86.98705056	53.39319303	104.678232	98.35932261	138.2198237	97.35292715	74.91203589
54	110.7601177	129.294506	126.0422213	176.1456814	203.8501319	197.1699924	184.0148875	369.5300169	113.9175685	136.7640498	897.7609451	201.432834	376.1160954	148.5578023	388.942131	106.4743844	313.862044	381.2362038	118.8865036	536.0964565	424.4869866	233.3298632	431.9751463	257.2914005	313.5205779	264.0951221	363.707479	240.7232571	260.815382	385.1551413	460.9973905	289.4338	448.8042625	476.2406416	304.8085693	281.7668316	311.975228	503.248932	291.7319778	296.8373085	505.0354717	436.4670069	321.0001812	381.2362038	361.0328143	366.8960113	452.1130907
56	177.3809034	160.1203617	202.4995179	140.391245	157.2726236	200.5443177	205.2998265	71.85568412	219.123883	99.36573099	117.0416514	235.2531618	194.4666774	150.2807235	162.5252029	155.2144361	176.2274882	188.6401867	149.9598184	139.8241792	255.3647692	119.0825381	257.0504834	251.3423533	275.0956395	186.923415	163.994989	196.4373227	219.8424553	354.2839204	362.0264534	113.5843715	117.2149956	91.1412643	86.92488932	121.2635203	137.3742083	205.8433993	99.70916431	117.5878835	140.682648	84.45273187	112.5406129	97.62830064	126.9204755	160.4162529	98.51348936
57	82.39390941	71.47466049	91.32554025	78.55174799	151.6056281	105.6638266	98.43896618	51.72225617	89.9693752	106.279926	92.74652238	91.96814034	113.6180264	73.19893032	65.31764352	102.055854	93.22798057	77.08213198	118.3376246	99.21038266	133.8734106	81.83351289	87.24924638	89.64297837	89.34016527	87.86392915	108.3335779	81.51713165	148.0699017	70.31149222	68.38922974	67.20782797	59.61519561	57.92374519	75.89255415	71.00876635	82.00899503	77.74110414	86.3341515	75.34857684	74.28867852	63.46945309	66.02401059	56.00722813	88.27694615	105.4407787	69.54742156
58	179.5226205	154.1011893	122.1234404	143.7221102	83.63344963	137.974205	157.2726236	115.4340768	206.3805519	94.31537114	75.44502395	160.0444495	180.5376611	170.889969	149.3135585	119.165566	102.055854	138.3753861	105.3470799	187.3773025	126.6574061	91.25637563	105.1170566	196.4373227	288.3764536	253.5099779	99.11605531	153.2997934	137.7218867	142.9413376	86.28555564	83.24465307	70.99785866	103.3614889	112.722733	179.5226205	193.1433587	129.9308	84.10721409	156.766116	61.35978599	194.9540594	141.5944019	194.0082288	66.01028271	116.4269725	63.48970929
62	61.60062193	60.40606211	62.79234982	56.72757291	74.01007586	70.8839019	74.93886707	44.35559299	68.36341088	60.28649778	160.1203617	62.72613929	74.96914244	84.10721409	67.8008325	63.13316661	64.26159731	59.80604607	119.850336	96.91042569	317.3362185	71.3859514	65.47031851	61.84451555	62.19837367	79.57946644	68.72220224	67.39686262	59.04639814	52.06843078	66.71827762	58.88252473	51.23358316	54.36402191	70.21014643	52.91200444	54.85288374	61.92332345	54.64721072	51.63637279	52.38823278	57.37868722	66.02401059	45.78130524	50.18422486	81.95801459	58.26240754
66	83.10819677	87.09134779	69.92961515	87.13859059	92.18612535	93.29208929	104.5824453	64.50342381	54.13343098	54.1476551	59.63417377	65.22137182	66.02401059	103.778288	70.60734685	52.5726618	56.61238296	63.0266535	57.38359036	78.84744079	65.28413626	66.00210807	57.83718511	59.902188	75.11894067	68.80104696	79.8509075	80.55222585	60.4211867	63.18188652	91.48334521	72.90581817	65.23345287	75.64131442	106.9984328	77.08213198	75.38883589	86.50261279	63.99321705	65.08683773	78.21811064	80.41032722	112.5406129	81.9782655	67.30585501	63.53279807	76.17796188
73	58.6632792	79.27733818	56.23226263	71.29404038	54.01761174	51.08287237	61.50748792	111.4485537	60.28379743	50.92118725	51.29563725	46.27047954	55.96587754	103.778288	48.54927853	49.74404551	59.82617268	54.73797829	49.35113303	51.44418185	61.01239116	60.34243005	57.83718511	55.93807395	54.13343098	65.54898197	69.91751405	47.21215768	59.04639814	49.43477799	48.00277445	51.67469927	53.712524	54.36402191	71.61376849	90.7578705	81.37921775	58.5836246	53.56662822	53.46600075	48.84148537	82.53262887	55.88174571	265.6156035	64.63060896	55.4778535	57.05494876
