feature,f_score
miR21_expression,332.5276049401162
miR21_log2,308.58638051451635
miR21_zscore,308.5863805143487
hpv_status_clean,5.201730695032981
human_papillomavirus_type,5.201730695032981
clinical_stage,2.877567743356079
smoker,2.872840225198977
abnormal_bleeding,2.3226540456903755
number_of_sexual_partners,0.6277951812445811
pelvic_pain,0.5454545454545445
parity,0.4244553759662805
age_at_initial_pathologic_diagnosis,0.2958104320170938
prior_screening,0.21777537407608338
vital_status,0.16126735493055583
socioeconomic_status,0.05215889464598345
hiv_status,0.030572990483904498
hpv_vaccinated,0.013117887238272927
gender,
