ID	CONTROL_TYPE	miRNA_ID	GENE_NAME	ACCESSION_STRING	CHROMOSOMAL_LOCATION	SPOT_ID
A_25_P00010003	FALSE	hsa-miR-128a_v9.1	hsa-miR-128a_v9.1	mir|hsa-miR-128a_v9.1|mir|MIMAT0000424	chr2:136139490-136139507	
A_25_P00010004	FALSE	hsa-miR-128a_v9.1	hsa-miR-128a_v9.1	mir|hsa-miR-128a_v9.1|mir|MIMAT0000424	chr2:136139491-136139507	
A_25_P00010005	FALSE	hsa-miR-565_v9.1	hsa-miR-565_v9.1	mir|hsa-miR-565_v9.1|mir|MIMAT0003229	chr3:45705549-45705533	
A_25_P00010006	FALSE	hsa-miR-565_v9.1	hsa-miR-565_v9.1	mir|hsa-miR-565_v9.1|mir|MIMAT0003229	chr3:45705549-45705534	
A_25_P00010007	FALSE	hsa-miR-565_v9.1	hsa-miR-565_v9.1	mir|hsa-miR-565_v9.1|mir|MIMAT0003229	chr3:45705549-45705535	
A_25_P00010008	FALSE	hsa-miR-454-3p_v9.1	hsa-miR-454-3p_v9.1	mir|hsa-miR-454-3p_v9.1|mir|MIMAT0003885	chr17:54569988-54569965	
A_25_P00010009	FALSE	hsa-miR-454-3p_v9.1	hsa-miR-454-3p_v9.1	mir|hsa-miR-454-3p_v9.1|mir|MIMAT0003885	chr17:54569988-54569966	
A_25_P00010010	FALSE	hsa-miR-519b_v9.1	hsa-miR-519b_v9.1	mir|hsa-miR-519b_v9.1|mir|MIMAT0002837	chr19:58890333-58890351	
A_25_P00010011	FALSE	hsa-miR-519b_v9.1	hsa-miR-519b_v9.1	mir|hsa-miR-519b_v9.1|mir|MIMAT0002837	chr19:58890332-58890351	
A_25_P00010012	FALSE	hsa-miR-368_v9.1	hsa-miR-368_v9.1	mir|hsa-miR-368_v9.1|mir|MIMAT0000720	chr14:100575825-100575844	
A_25_P00010013	FALSE	hsa-miR-368_v9.1	hsa-miR-368_v9.1	mir|hsa-miR-368_v9.1|mir|MIMAT0000720	chr14:100575826-100575844	
A_25_P00010014	FALSE	hsa-miR-451_v9.1	hsa-miR-451_v9.1	mir|hsa-miR-451_v9.1|mir|MIMAT0001631	chr17:24212551-24212533	
A_25_P00010015	FALSE	hsa-miR-451_v9.1	hsa-miR-451_v9.1	mir|hsa-miR-451_v9.1|mir|MIMAT0001631	chr17:24212551-24212534	
A_25_P00010016	FALSE	hsa-miR-202*_v9.1	hsa-miR-202*_v9.1	mir|hsa-miR-202*_v9.1|mir|MIMAT0002810	chr10:134911053-134911033	
A_25_P00010017	FALSE	hsa-miR-495_v9.1	hsa-miR-495_v9.1	mir|hsa-miR-495_v9.1|mir|MIMAT0002817	chr14:100569898-100569916	
A_25_P00010018	FALSE	hsa-miR-495_v9.1	hsa-miR-495_v9.1	mir|hsa-miR-495_v9.1|mir|MIMAT0002817	chr14:100569899-100569916	
A_25_P00010019	FALSE	hsa-miR-329	hsa-miR-329	mir|hsa-miR-329|mir|MIMAT0001629	chr14:101493173-101493192,chr14:101493490-101493509	
A_25_P00010020	FALSE	hsa-miR-329	hsa-miR-329	mir|hsa-miR-329|mir|MIMAT0001629	chr14:101493174-101493192,chr14:101493491-101493509	
A_25_P00010021	FALSE	hsa-miR-655	hsa-miR-655	mir|hsa-miR-655|mir|MIMAT0003331	chr14:101515949-101515968	
A_25_P00010023	FALSE	hsa-miR-369-3p	hsa-miR-369-3p	mir|hsa-miR-369-3p|mir|MIMAT0000721	chr14:101531979-101531998	
A_25_P00010024	FALSE	hsa-miR-302a*_v9.1	hsa-miR-302a*_v9.1	mir|hsa-miR-302a*_v9.1|mir|MIMAT0000683	chr4:113788817-113788801	
A_25_P00010025	FALSE	hsa-miR-302a*_v9.1	hsa-miR-302a*_v9.1	mir|hsa-miR-302a*_v9.1|mir|MIMAT0000683	chr4:113788817-113788800	
A_25_P00010026	FALSE	hsa-miR-302a*_v9.1	hsa-miR-302a*_v9.1	mir|hsa-miR-302a*_v9.1|mir|MIMAT0000683	chr4:113788817-113788799	
A_25_P00010027	FALSE	hsa-miR-193b_v9.1	hsa-miR-193b_v9.1	mir|hsa-miR-193b_v9.1|mir|MIMAT0002819	chr16:14305381-14305398	
A_25_P00010028	FALSE	hsa-miR-193b_v9.1	hsa-miR-193b_v9.1	mir|hsa-miR-193b_v9.1|mir|MIMAT0002819	chr16:14305382-14305398	
A_25_P00010029	FALSE	hsa-miR-337_v9.1	hsa-miR-337_v9.1	mir|hsa-miR-337_v9.1|mir|MIMAT0000754	chr14:100410639-100410660	
A_25_P00010030	FALSE	hsa-miR-337_v9.1	hsa-miR-337_v9.1	mir|hsa-miR-337_v9.1|mir|MIMAT0000754	chr14:100410640-100410660	
A_25_P00010031	FALSE	hsa-miR-337_v9.1	hsa-miR-337_v9.1	mir|hsa-miR-337_v9.1|mir|MIMAT0000754	chr14:100410641-100410660	
A_25_P00010032	FALSE	hsa-miR-337_v9.1	hsa-miR-337_v9.1	mir|hsa-miR-337_v9.1|mir|MIMAT0000754	chr14:100410642-100410660	
A_25_P00010035	FALSE	hsa-miR-516b	hsa-miR-516b	mir|hsa-miR-516b|mir|MIMAT0002859|mir|hsa-miR-516-5p_v9.1|mir|MIMAT0002859	chr19:054228714-054228732,chr19:054240117-054240135,chr19:058920526-058920544,chr19:058931929-058931947	
A_25_P00010036	FALSE	hsa-miR-516b	hsa-miR-516b	mir|hsa-miR-516b|mir|MIMAT0002859|mir|hsa-miR-516-5p_v9.1|mir|MIMAT0002859	chr19:054228715-054228732,chr19:054240118-054240135,chr19:058920527-058920544,chr19:058931930-058931947	
A_25_P00010037	FALSE	hsa-miR-220a	hsa-miR-220a	mir|hsa-miR-220a|mir|MIMAT0000277|mir|hsa-miR-220_v9.1|mir|MIMAT0000277	chrX:122523669-122523654,chrX:122695988-122695973	
A_25_P00010038	FALSE	hsa-miR-220a	hsa-miR-220a	mir|hsa-miR-220a|mir|MIMAT0000277|mir|hsa-miR-220_v9.1|mir|MIMAT0000277	chrX:122523669-122523652,chrX:122695988-122695971	
A_25_P00010039	FALSE	hsa-miR-220a	hsa-miR-220a	mir|hsa-miR-220a|mir|MIMAT0000277|mir|hsa-miR-220_v9.1|mir|MIMAT0000277	chrX:122523669-122523651,chrX:122695988-122695970	
A_25_P00010040	FALSE	hsa-miR-220a	hsa-miR-220a	mir|hsa-miR-220a|mir|MIMAT0000277|mir|hsa-miR-220_v9.1|mir|MIMAT0000277	chrX:122523669-122523653,chrX:122695988-122695972	
A_25_P00010041	FALSE	hsa-miR-363*	hsa-miR-363*	mir|hsa-miR-363*|mir|MIMAT0003385	chrX:133303435-133303418	
A_25_P00010042	FALSE	hsa-miR-363*	hsa-miR-363*	mir|hsa-miR-363*|mir|MIMAT0003385	chrX:133303435-133303419	
A_25_P00010043	FALSE	hsa-miR-363*	hsa-miR-363*	mir|hsa-miR-363*|mir|MIMAT0003385	chrX:133303435-133303420	
A_25_P00010044	FALSE	hsa-miR-363*	hsa-miR-363*	mir|hsa-miR-363*|mir|MIMAT0003385	chrX:133303435-133303421	
A_25_P00010045	FALSE	hsa-miR-34a_v9.1	hsa-miR-34a_v9.1	mir|hsa-miR-34a_v9.1|mir|MIMAT0000255	chr1:9134357-9134338	
A_25_P00010046	FALSE	hsa-miR-34a_v9.1	hsa-miR-34a_v9.1	mir|hsa-miR-34a_v9.1|mir|MIMAT0000255	chr1:9134357-9134339	
A_25_P00010047	FALSE	hsa-miR-98	hsa-miR-98	mir|hsa-miR-98|mir|MIMAT0000096	chrX:53583226-53583207	
A_25_P00010048	FALSE	hsa-miR-98	hsa-miR-98	mir|hsa-miR-98|mir|MIMAT0000096	chrX:53583226-53583208	
A_25_P00010049	FALSE	hsa-miR-522_v9.1	hsa-miR-522_v9.1	mir|hsa-miR-522_v9.1|mir|MIMAT0002868	chr19:58946335-58946352	
A_25_P00010050	FALSE	hsa-miR-522_v9.1	hsa-miR-522_v9.1	mir|hsa-miR-522_v9.1|mir|MIMAT0002868	chr19:58946334-58946352	
A_25_P00010051	FALSE	hsa-miR-517b	hsa-miR-517b	mir|hsa-miR-517b|mir|MIMAT0002857|mir|hsa-miR-517a_v9.1|mir|MIMAT0002852	chr19:054224375-054224394,chr19:058907390-058907409	
A_25_P00010052	FALSE	hsa-miR-517b	hsa-miR-517b	mir|hsa-miR-517b|mir|MIMAT0002857|mir|hsa-miR-517a_v9.1|mir|MIMAT0002852	chr19:054224376-054224394,chr19:058907391-058907409	
A_25_P00010053	FALSE	hsa-miR-29b	hsa-miR-29b	mir|hsa-miR-29b|mir|MIMAT0000100	chr1:207975861-207975841,chr7:130562290-130562270	
A_25_P00010054	FALSE	hsa-miR-29b	hsa-miR-29b	mir|hsa-miR-29b|mir|MIMAT0000100	chr1:207975861-207975842,chr7:130562290-130562271	
A_25_P00010055	FALSE	hsa-miR-526c_v9.1	hsa-miR-526c_v9.1	mir|hsa-miR-526c_v9.1|mir|MIMAT0002831	chr19:058881557-058881573,chr19:058890298-058890314,chr19:058893473-058893489,chr19:058924926-058924942,chr19:058946299-058946315,chr19:058947484-058947500	
A_25_P00010056	FALSE	hsa-miR-526c_v9.1	hsa-miR-526c_v9.1	mir|hsa-miR-526c_v9.1|mir|MIMAT0002831	chr19:058881555-058881573,chr19:058890296-058890314,chr19:058893471-058893489,chr19:058924924-058924942,chr19:058946297-058946315,chr19:058947482-058947500	
A_25_P00010057	FALSE	hsa-miR-526c_v9.1	hsa-miR-526c_v9.1	mir|hsa-miR-526c_v9.1|mir|MIMAT0002831	chr19:058881556-058881573,chr19:058890297-058890314,chr19:058893472-058893489,chr19:058924925-058924942,chr19:058946298-058946315,chr19:058947483-058947500	
